id,entry_time,side,entry_token_price,size,value_usdc,take_profit_usd,stop_loss_usd,take_profit_pct,stop_loss_pct,exit_time,exit_token_price,pnl_usd,pnl_pct,exit_reason,status
44,2026-02-23 23:08:41,LONG,0.58,6.0,3.4799999999999995,1.0,1.0,0.2874,0.2874,2026-02-23 23:10:12,0.42,-0.9599999999999999,-27.586206896551722,STOP_LOSS_LOCAL,closed
43,2026-02-23 23:07:45,LONG,0.58,6.0,3.4799999999999995,1.0,1.0,0.2874,0.2874,2026-02-23 23:10:31,0.28,-1.7999999999999996,-51.72413793103448,SIGNAL_CHANGE,closed
42,2026-02-23 15:46:40,SHORT,0.58,6.0,3.4799999999999995,1.0,1.0,0.2874,0.2874,2026-02-23 16:08:47,0.58,0.0,0.0,STALE_CLEANUP,closed
41,2026-02-22 03:00:36,SHORT,0.59,6.0,3.54,1.0,1.0,0.2825,0.2825,2026-02-22 03:21:03,0.75,0.9600000000000002,27.118644067796616,MANUAL_TAKE_PROFIT,closed
40,2026-02-22 02:48:22,SHORT,0.6,6.0,3.5999999999999996,1.0,1.0,0.2778,0.2778,2026-02-22 03:13:01,0.6,0.0,0.0,STALE_CLEANUP,closed
39,2026-02-22 02:04:50,SHORT,0.58,6.0,3.4799999999999995,1.0,1.0,0.2874,0.2874,2026-02-22 02:17:34,0.41333333333333333,1.0,28.73563218390805,TAKE_PROFIT,closed
38,2026-02-22 00:53:24,SHORT,0.6,6.0,3.5999999999999996,1.0,1.0,0.2778,0.2778,2026-02-22 01:09:06,0.5,0.5999999999999999,16.666666666666664,MANUAL_CLOSE,closed
37,2026-02-22 00:39:28,SHORT,0.68,6.0,4.08,1.0,1.0,0.2451,0.2451,2026-02-22 01:03:01,0.68,0.0,0.0,STALE_CLEANUP,closed
36,2026-02-22 00:25:06,SHORT,0.76,6.0,4.5600000000000005,1.0,1.0,0.2193,0.2193,2026-02-22 00:50:34,0.76,0.0,0.0,STALE_CLEANUP,closed
35,2026-02-21 23:50:43,SHORT,0.58,6.0,3.4799999999999995,1.0,1.0,0.2874,0.2874,2026-02-22 00:06:07,0.425,-0.9299999999999998,-26.72413793103448,MARKET_SETTLED,closed
34,2026-02-21 22:47:15,SHORT,0.635,6.0,3.96,1.0,1.0,0.2625,0.2625,2026-02-21 23:33:31,0.635,0.0,0.0,STALE_CLEANUP,closed
33,2026-02-21 22:13:51,SHORT,0.695,6.0,4.32,1.0,1.0,0.2398,0.2398,2026-02-21 22:33:03,0.495,1.1999999999999997,27.777777777777768,MARKET_SETTLED,closed
